Case,fc_(Mpa),fy_(Mpa),q_(kN/m),P_(kN),Fire curve,t_delay_(min)
1837,29.052083,527.96385,46.593118,513.27133,37,0
1838,29.610888,528.90037,77.34406,532.78395,38,0
1839,28.838898,548.72237,62.389107,443.28492,39,0
1840,30.009984,516.25554,60.819148,549.16347,40,0
1841,34.264865,585.85085,60.021223,543.21905,41,0
1842,27.987731,422.8325,62.726084,460.05612,42,0
1843,28.965843,533.80081,52.958942,451.12409,43,0
1844,26.775813,462.46647,53.728289,449.53421,44,0
1845,29.349583,481.56672,68.446254,438.95376,45,0
1846,31.00551,488.07932,54.060406,508.07794,46,0
1847,27.653079,478.67353,67.12828,459.65297,47,0
1848,25.72191,545.5234,67.664636,504.7767,48,0
1849,23.74932,526.17303,61.873501,414.50472,49,0
1850,30.743045,536.68553,54.298335,409.06571,50,0
1851,29.711276,458.12591,57.57583,510.85398,51,0
1852,33.366824,551.62689,52.689499,432.19282,52,0
1853,29.545438,606.37357,63.488204,423.6475,53,0
1854,28.7631,502.54704,76.607499,500.76196,54,0
1855,24.960844,476.38811,65.329025,534.39939,55,0
1856,32.923187,489.34664,59.814253,520.80315,56,0
1857,27.377596,507.12821,50.680813,467.12291,57,0
1858,32.686329,544.90774,69.926902,475.21585,58,0
1859,31.598054,560.42313,50.136528,494.30124,59,0
1860,28.41389,438.21563,49.02597,406.9475,60,0
1861,30.326031,521.43941,73.692189,444.44096,61,0
1862,31.822253,451.57336,64.876771,427.42208,62,0
1863,34.108381,461.17873,45.581176,456.84424,63,0
1864,29.909201,523.53548,47.555772,420.67109,64,0
1865,26.856105,535.64925,52.168379,499.23042,65,0
1866,27.546051,425.8927,59.244321,530.75694,66,0
1867,26.003154,555.90826,72.433594,439.40836,67,0
1868,30.804973,518.06466,66.55241,472.2689,68,0
1869,23.446638,519.13784,45.782363,538.4058,69,0
1870,32.119268,463.59673,56.478303,435.44542,70,0
1871,32.007475,482.76133,75.611636,496.89165,71,0
1872,31.458104,480.76068,50.95924,470.86146,72,0
1873,30.680936,446.37003,69.36838,426.11279,73,0
1874,28.615119,519.94392,49.522705,449.38768,74,0
1875,25.510061,404.2788,61.234823,440.80355,75,0
1876,29.27962,440.77015,51.868627,404.84086,76,0
1877,24.7334573,591.9251668,70.24568,500.57124,77,0
1878,27.770632,522.28464,54.927867,463.77259,78,0
1879,33.6546252,507.5783199,60.256613,405.358221,79,0
1880,30.533776,454.01261,77.821321,421.1718,80,0
1881,34.420588,433.62254,47.134018,481.59637,81,0
1882,27.511751,484.61588,55.616296,401.04605,82,0
1883,28.089163,510.5765,68.058752,525.42157,83,0
1884,35.708518,469.22586,48.757868,429.67585,84,0
1885,26.995088,508.36977,55.338854,416.93249,85,0
1886,28.498654,595.20212,65.868099,519.92329,86,0
1887,33.659458,497.24245,74.738644,547.68148,87,0
1888,27.2315906,461.7341489,74.256545,465.455524,88,0
1889,29.683321,498.28248,73.314292,412.28421,89,0
1890,28.310096,511.17537,60.303307,446.71679,90,0
1891,30.250597,499.37843,70.86091,454.78101,91,0
1892,26.638384,505.5875,48.04488,473.96549,92,0
1893,32.573089,515.28694,56.859483,511.96372,93,0
1894,29.114274,466.54215,63.856312,480.60848,94,0
1895,26.134961,525.73373,75.742012,488.20654,95,0
1896,31.926595,473.09256,75.285526,464.56737,96,0
1897,31.033039,493.42261,69.035041,529.38008,97,0
1898,37.154224,483.81244,45.283337,415.46855,98,0
1899,27.101606,495.08367,70.5677,537.50685,99,0
1900,30.573117,566.01807,76.916861,458.00836,100,0
1901,25.794125,489.80385,58.275971,545.68288,1,30
1902,30.091162,499.63638,52.310263,495.61902,2,30
1903,28.722315,479.58833,69.677228,488.66372,3,30
1904,28.3904284,513.136552,77.855851,495.58921,4,30
1905,32.784779,503.93229,71.995449,527.40391,5,30
1906,39.947655,471.1748,53.337737,462.71238,6,30
1907,31.200137,456.65031,56.085002,467.97389,7,30
1908,29.222699,485.39261,49.666133,528.39052,8,30
1909,26.882866,494.632333,71.15452,525.23552,9,30
1910,29.1864102,483.705289,73.586225,415.23692,10,30
1911,32.26669,474.27424,70.20708,522.29908,11,30
1912,27.144226,459.54326,72.747883,545.42679,12,30
1913,35.152085,475.62704,51.453821,424.45593,13,30
1914,30.429976,491.38851,74.532411,478.87167,14,30
1915,32.977033,512.06373,60.890584,542.09453,15,30
1916,31.281434,572.87169,72.302515,430.25046,16,30
1917,29.1972176,505.0971998,72.13235,480.215898,17,30
1918,30.892908,492.37001,63.368745,517.49124,18,30
1919,31.393005,540.91752,64.447898,539.72168,19,30
1920,36.074997,552.42975,66.141964,505.37408,20,30
1921,31.687447,444.72797,58.803831,411.95126,21,30
1922,25.220967,477.65433,73.913335,408.83968,22,30
1923,33.121993,500.91656,46.97033,477.51649,23,30
1924,28.912579,494.31945,47.794953,434.04448,24,30
1925,30.161613,453.40473,64.475886,404.39015,25,30
1926,29.821228,561.82877,57.482676,516.12533,26,30
1927,31.183421,539.3648,46.136327,437.44285,27,30
1928,26.527319,467.43332,66.873958,523.30361,28,30
1929,28.377059,470.31489,76.146496,497.71581,29,30
1930,29.9269,448.82103,48.531087,535.13156,30,30
1931,26.361987,624.45467,63.12545,450.235669,31,30
1932,33.49542,543.24403,58.956003,492.11886,32,30
1933,34.681141,502.22395,68.178126,402.6791,33,30
1934,32.394358,465.55323,65.675137,502.59045,34,30
1935,29.437293,486.9583,77.220234,445.62371,35,30
1936,26.333236,512.99913,63.126096,490.79615,36,30
1937,29.052083,527.96385,46.593118,513.27133,37,30
1938,29.610888,528.90037,77.34406,532.78395,38,30
1939,28.838898,548.72237,62.389107,443.28492,39,30
1940,30.009984,516.25554,60.819148,549.16347,40,30
1941,34.264865,585.85085,60.021223,543.21905,41,30
1942,27.987731,422.8325,62.726084,460.05612,42,30
1943,28.965843,533.80081,52.958942,451.12409,43,30
1944,26.775813,462.46647,53.728289,449.53421,44,30
1945,29.349583,481.56672,68.446254,438.95376,45,30
1946,31.00551,488.07932,54.060406,508.07794,46,30
1947,27.653079,478.67353,67.12828,459.65297,47,30
1948,25.72191,545.5234,67.664636,504.7767,48,30
1949,23.74932,526.17303,61.873501,414.50472,49,30
1950,30.743045,536.68553,54.298335,409.06571,50,30
1951,29.711276,458.12591,57.57583,510.85398,51,30
1952,33.366824,551.62689,52.689499,432.19282,52,30
1953,29.545438,606.37357,63.488204,423.6475,53,30
1954,28.7631,502.54704,76.607499,500.76196,54,30
1955,24.960844,476.38811,65.329025,534.39939,55,30
1956,32.923187,489.34664,59.814253,520.80315,56,30
1957,27.377596,507.12821,50.680813,467.12291,57,30
1958,32.686329,544.90774,69.926902,475.21585,58,30
1959,31.598054,560.42313,50.136528,494.30124,59,30
1960,28.41389,438.21563,49.02597,406.9475,60,30
1961,30.326031,521.43941,73.692189,444.44096,61,30
1962,31.822253,451.57336,64.876771,427.42208,62,30
1963,34.108381,461.17873,45.581176,456.84424,63,30
1964,29.909201,523.53548,47.555772,420.67109,64,30
1965,26.856105,535.64925,52.168379,499.23042,65,30
1966,27.546051,425.8927,59.244321,530.75694,66,30
1967,26.003154,555.90826,72.433594,439.40836,67,30
1968,30.804973,518.06466,66.55241,472.2689,68,30
1969,23.446638,519.13784,45.782363,538.4058,69,30
1970,32.119268,463.59673,56.478303,435.44542,70,30
1971,32.007475,482.76133,75.611636,496.89165,71,30
1972,31.458104,480.76068,50.95924,470.86146,72,30
1973,30.680936,446.37003,69.36838,426.11279,73,30
1974,28.615119,519.94392,49.522705,449.38768,74,30
1975,25.510061,404.2788,61.234823,440.80355,75,30
1976,29.27962,440.77015,51.868627,404.84086,76,30
1977,24.7334573,591.9251668,70.24568,500.57124,77,30
1978,27.770632,522.28464,54.927867,463.77259,78,30
1979,33.6546252,507.5783199,60.256613,405.358221,79,30
1980,30.533776,454.01261,77.821321,421.1718,80,30
1981,34.420588,433.62254,47.134018,481.59637,81,30
1982,27.511751,484.61588,55.616296,401.04605,82,30
1983,28.089163,510.5765,68.058752,525.42157,83,30
1984,35.708518,469.22586,48.757868,429.67585,84,30
1985,26.995088,508.36977,55.338854,416.93249,85,30
1986,28.498654,595.20212,65.868099,519.92329,86,30
1987,33.659458,497.24245,74.738644,547.68148,87,30
1988,27.2315906,461.7341489,74.256545,465.455524,88,30
1989,29.683321,498.28248,73.314292,412.28421,89,30
1990,28.310096,511.17537,60.303307,446.71679,90,30
1991,30.250597,499.37843,70.86091,454.78101,91,30
1992,26.638384,505.5875,48.04488,473.96549,92,30
1993,32.573089,515.28694,56.859483,511.96372,93,30
1994,29.114274,466.54215,63.856312,480.60848,94,30
1995,26.134961,525.73373,75.742012,488.20654,95,30
1996,31.926595,473.09256,75.285526,464.56737,96,30
1997,31.033039,493.42261,69.035041,529.38008,97,30
1998,37.154224,483.81244,45.283337,415.46855,98,30
1999,27.101606,495.08367,70.5677,537.50685,99,30
2000,30.573117,566.01807,76.916861,458.00836,100,30
2001,25.794125,489.80385,58.275971,545.68288,1,60
2002,30.091162,499.63638,52.310263,495.61902,2,60
2003,28.722315,479.58833,69.677228,488.66372,3,60
2004,28.3904284,513.136552,77.855851,495.58921,4,60
2005,32.784779,503.93229,71.995449,527.40391,5,60
2006,39.947655,471.1748,53.337737,462.71238,6,60
2007,31.200137,456.65031,56.085002,467.97389,7,60
2008,29.222699,485.39261,49.666133,528.39052,8,60
2009,26.882866,494.632333,71.15452,525.23552,9,60
2010,29.1864102,483.705289,73.586225,415.23692,10,60
2011,32.26669,474.27424,70.20708,522.29908,11,60
2012,27.144226,459.54326,72.747883,545.42679,12,60
2013,35.152085,475.62704,51.453821,424.45593,13,60
2014,30.429976,491.38851,74.532411,478.87167,14,60
2015,32.977033,512.06373,60.890584,542.09453,15,60
2016,31.281434,572.87169,72.302515,430.25046,16,60
2017,29.1972176,505.0971998,72.13235,480.215898,17,60
2018,30.892908,492.37001,63.368745,517.49124,18,60
2019,31.393005,540.91752,64.447898,539.72168,19,60
2020,36.074997,552.42975,66.141964,505.37408,20,60
2021,31.687447,444.72797,58.803831,411.95126,21,60
2022,25.220967,477.65433,73.913335,408.83968,22,60
2023,33.121993,500.91656,46.97033,477.51649,23,60
2024,28.912579,494.31945,47.794953,434.04448,24,60
2025,30.161613,453.40473,64.475886,404.39015,25,60
2026,29.821228,561.82877,57.482676,516.12533,26,60
2027,31.183421,539.3648,46.136327,437.44285,27,60
2028,26.527319,467.43332,66.873958,523.30361,28,60
2029,28.377059,470.31489,76.146496,497.71581,29,60
2030,29.9269,448.82103,48.531087,535.13156,30,60
2031,26.361987,624.45467,63.12545,450.235669,31,60
2032,33.49542,543.24403,58.956003,492.11886,32,60
2033,34.681141,502.22395,68.178126,402.6791,33,60
2034,32.394358,465.55323,65.675137,502.59045,34,60
2035,29.437293,486.9583,77.220234,445.62371,35,60
2036,26.333236,512.99913,63.126096,490.79615,36,60
2037,29.052083,527.96385,46.593118,513.27133,37,60
2038,29.610888,528.90037,77.34406,532.78395,38,60
2039,28.838898,548.72237,62.389107,443.28492,39,60
2040,30.009984,516.25554,60.819148,549.16347,40,60
2041,34.264865,585.85085,60.021223,543.21905,41,60
2042,27.987731,422.8325,62.726084,460.05612,42,60
2043,28.965843,533.80081,52.958942,451.12409,43,60
2044,26.775813,462.46647,53.728289,449.53421,44,60
2045,29.349583,481.56672,68.446254,438.95376,45,60
2046,31.00551,488.07932,54.060406,508.07794,46,60
2047,27.653079,478.67353,67.12828,459.65297,47,60
2048,25.72191,545.5234,67.664636,504.7767,48,60
2049,23.74932,526.17303,61.873501,414.50472,49,60
2050,30.743045,536.68553,54.298335,409.06571,50,60
2051,29.711276,458.12591,57.57583,510.85398,51,60
2052,33.366824,551.62689,52.689499,432.19282,52,60
2053,29.545438,606.37357,63.488204,423.6475,53,60
2054,28.7631,502.54704,76.607499,500.76196,54,60
2055,24.960844,476.38811,65.329025,534.39939,55,60
2056,32.923187,489.34664,59.814253,520.80315,56,60
2057,27.377596,507.12821,50.680813,467.12291,57,60
2058,32.686329,544.90774,69.926902,475.21585,58,60
2059,31.598054,560.42313,50.136528,494.30124,59,60
2060,28.41389,438.21563,49.02597,406.9475,60,60
2061,30.326031,521.43941,73.692189,444.44096,61,60
2062,31.822253,451.57336,64.876771,427.42208,62,60
2063,34.108381,461.17873,45.581176,456.84424,63,60
2064,29.909201,523.53548,47.555772,420.67109,64,60
2065,26.856105,535.64925,52.168379,499.23042,65,60
2066,27.546051,425.8927,59.244321,530.75694,66,60
2067,26.003154,555.90826,72.433594,439.40836,67,60
2068,30.804973,518.06466,66.55241,472.2689,68,60
2069,23.446638,519.13784,45.782363,538.4058,69,60
2070,32.119268,463.59673,56.478303,435.44542,70,60
2071,32.007475,482.76133,75.611636,496.89165,71,60
2072,31.458104,480.76068,50.95924,470.86146,72,60
2073,30.680936,446.37003,69.36838,426.11279,73,60
2074,28.615119,519.94392,49.522705,449.38768,74,60
2075,25.510061,404.2788,61.234823,440.80355,75,60
2076,29.27962,440.77015,51.868627,404.84086,76,60
2077,24.7334573,591.9251668,70.24568,500.57124,77,60
2078,27.770632,522.28464,54.927867,463.77259,78,60
2079,33.6546252,507.5783199,60.256613,405.358221,79,60
2080,30.533776,454.01261,77.821321,421.1718,80,60
2081,34.420588,433.62254,47.134018,481.59637,81,60
2082,27.511751,484.61588,55.616296,401.04605,82,60
2083,28.089163,510.5765,68.058752,525.42157,83,60
2084,35.708518,469.22586,48.757868,429.67585,84,60
2085,26.995088,508.36977,55.338854,416.93249,85,60
2086,28.498654,595.20212,65.868099,519.92329,86,60
2087,33.659458,497.24245,74.738644,547.68148,87,60
2088,27.2315906,461.7341489,74.256545,465.455524,88,60
2089,29.683321,498.28248,73.314292,412.28421,89,60
2090,28.310096,511.17537,60.303307,446.71679,90,60
2091,30.250597,499.37843,70.86091,454.78101,91,60
2092,26.638384,505.5875,48.04488,473.96549,92,60
2093,32.573089,515.28694,56.859483,511.96372,93,60
2094,29.114274,466.54215,63.856312,480.60848,94,60
2095,26.134961,525.73373,75.742012,488.20654,95,60
2096,31.926595,473.09256,75.285526,464.56737,96,60
2097,31.033039,493.42261,69.035041,529.38008,97,60
2098,37.154224,483.81244,45.283337,415.46855,98,60
2099,27.101606,495.08367,70.5677,537.50685,99,60
2100,30.573117,566.01807,76.916861,458.00836,100,60
